webcamID	userNumber	webcamName	description	purpose	url	latitude	longitude	city	stateProvinceRegion	country	height	heightUnits	azimuth	fieldOfView	rotating	rotatingFieldOfView	verticalViewAngle	verticalFieldOfView	minViewRadius	minViewRadiusUnits	maxViewRadius	maxViewRadiusUnits	webcamColor	viewshedColor	isActive	dateSubmitted	dateApproved	approvalStatus
17	22	Mallory Square - Key West Live Cam	400 Wall St	tourist	https://www.youtube.com/embed/bhsZoZ2bApc	24	-81	Key West	Florida	USA	5	ft	225	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
18	22	Hawaii Humpback Whale Sanctuary at Maui Sands	3559 Lower Honoapiilani Rd	beach	https://www.youtube.com/embed/NyFHGh5Elxs	20	-156	Lahaina	Hawaii	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
19	22	Rooftops of Vieux Vieux in Nice South of France	Old Nice	city	https://www.youtube.com/embed/ED5YZ-fpm9A	43.68999	7.2699	Nice	Nice	France	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
20	22	Dormition Cathedral in Khabarovsk	"Muravieva-Amurskogo St., 4"	landmarks	https://www.youtube.com/embed/gLF_B-t3K5I	48.46475	134.97334	Khabarovsk	Khabarovsk	Russia	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
21	22	"Brooks Falls - Katmai National Park, Alaska"	"King Salmon, AK 99613"	animals	https://www.youtube.com/embed/IcWTPFnqOLo	58.35487	-155.23534	King Salmon	Alaska	USA	5	ft	135	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
22	22	Deerfield Beach	something street	beach	https://www.youtube.com/embed/-HAi_5IIAYg	26.31983	-80.08954	deerfield beach	Florida	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
23	22	Gettysburg Bird Cam	300 N Washington St	animals	https://www.youtube.com/embed/2uabwdYMzVk	39.83266	-77.2356	Gettysburg	Pennsylvania	USA	5	ft	315	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
24	22	"La Grange, Railfan"	"209 E Main St, La Grange, KY 40031"	town	https://www.youtube.com/embed/WsYtosQta5Y	38.40793	-85.37672	La Grange	Kentucky	USA	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
25	22	Cocoa Beach Beach Cam	123 Test	beach	https://www.youtube.com/embed/nKrm68n7I_8	28.31213	-80.61128	Cocoa Beach	Florida	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
26	22	Frenchy's Clearwater Beach Cam	123 unknown	beach	https://www.youtube.com/embed/rxBBRLWF0mM	27.97475	-82.83	Clearwater Beach	Florida	USA	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
27	22	Geldingadalir Volcano	123 unknown	weather	https://www.youtube.com/embed/BA-9QzIcr3c	63.92237	-22.21324	Grindavik	Vermont	Iceland	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
28	22	Kaanapali Beach HD Maui Cam	123 unknown	beach	https://www.youtube.com/embed/zkNURt8ghRs	20.9192	-156.69254	Kaanapali	Hawaii	USA	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
29	22	Detroit River Cam	"100 The Strand, Detroit, MI 48207"	city	https://www.youtube.com/embed/femYnE0Yf_c	42.33435	-82.98537	Detroit	Michigan	USA	5	ft	180	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
30	22	Okeechobee Live Cam	208 SE 3rd St	town	https://www.youtube.com/embed/EyKh06eZEWc	27.24103	-80.82733	Okeechobee	Florida	USA	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
31	22	Tembe Elephant Park	"P522-2, kwangwanase"	animals	https://www.youtube.com/embed/48MFrf5ADp8	-27.00851	32.41668	Embonisweni	Embonisweni	South Africa	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
32	22	Ponte delle Guglie Venice	123 Unknown	town	https://www.youtube.com/embed/HpZAez2oYsA	45.44408	12.32522	Venice	Alabama	Italy	5	ft	45	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
33	22	Michael Weiss Street Brasov	123 unknown	town	https://www.youtube.com/embed/G05wmWFDtSo	45.64294	25.59172	Brasnov	Alabama	Romania	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
34	22	Tokyo Live Camera	123 Unknown	city	https://www.youtube.com/embed/QOjmvL3e7Lc	35.66284	139.75995	Tokyo	Tokyo	Japan	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
35	22	"Bridge Street Grill - www.BridgeStGrill.com - Lower Stanley, ID"	123 unknown	weather	https://www.youtube.com/embed/GIXYZdMPBQU	44.23227	-114.91895	Lower Stanley	Idaho	USA	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
36	22	Togwotee Mountain Lodge - Jackson Hole	123 unknown	tourist	https://www.youtube.com/embed/DyvzXyJ_fVg	43.81881	-110.19958	Jackson Hole	Wyoming	USA	5	ft	315	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
37	22	Pozo Izquierdo Beach (Gran Canaria) 	123 Unknown	beach	https://www.youtube.com/embed/FUTHbUn9Xmg	27.82285	-15.42335	Pozo Izquierdo	Pozo Izquierdo	Spain	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
38	22	"Crystal Bay Yacht Club Live Stream From Lamai, Koh Samui, Thailand"	123 Unknown	beach	https://www.youtube.com/embed/-vZOOe5dNOY	9.47687	100.06791	Lamai	Lamai	Thailand	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
39	22	"Westfield, Massachusetts Park Square"	123 Unknown	town	https://www.youtube.com/embed/ovn3lz0iZYQ	42.12039	-72.74956	Westfield	Massachusetts	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
40	22	Waimea Bay Cam	123 unknown	beach	https://www.youtube.com/embed/wnNrd-VjLsQ	21.64084	-158.06417	Waimea Bay	Hawaii	USA	5	ft	315	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
41	22	Madina Live	"Al Haram, Medina 42311"	city	https://www.youtube.com/embed/zBkm_sWf1F0	24.47581	39.60928	Medina	Medina	Saudi Arabia	5	ft	45	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
42	22	Pipeline Wave Cam	"59-473 Ke Waena Rd, Haleiwa, HI 96712"	beach	https://www.youtube.com/embed/DY5RYp4sxYc	21.66051	-158.05565	Haleiwa	Hawaii	USA	5	ft	45	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
43	22	"Camera Axis Q6074-E live from Prague, Czech Republic"	123 Unknown	city	https://www.youtube.com/embed/uB46oaVFK1E	50.08999	14.45944	Prague	Alabama	Czech Republic	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
44	22	Lyubinsky avenue	"Ulitsa 2 Liniya, Omsk, Omsk Oblast, Russia, 644070"	city	https://www.youtube.com/embed/RENcMN77z5M	54.98453	73.39843	Omsk	Omsk	Russia	5	ft	180	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
45	22	"Paktron CCTV, Rawalpindi"	"Rawalpindi, Islamabad"	city	https://www.youtube.com/embed/M7MiTVAyz4s	33.56593	73.01739	Rawalpindi	Rawalpindi	Pakistan	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
46	22	GoCadiz.Com Cam - Downtown Cadiz - Kentucky	123 Unknown	town	https://www.youtube.com/embed/qREdW0epjJU	36.86213	-87.83747	Cadiz	Kentucky	USA	5	ft	225	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
47	22	Webcam Estacion Invernal San Isidro	123 Unknown	tourist	https://www.youtube.com/embed/6kKT79BHt9E	43.06327	-5.37808	San Isidro	San Isidro	Spain	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
48	22	La La Mountain	123 Unknown	tourist	https://www.youtube.com/embed/Qsio6jOZ2Y4	24.67977	121.38361	Taoyuan City	Taoyuan City	Taiwan	5	ft	315	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
49	22	Jialulan Recreation Area | East Coast National Scenia Area in Taiwan	123 Unknown	beach	https://www.youtube.com/embed/ce4RYcnuXPA	22.80851	121.19717	Taitung City	Taitung City	Taiwan	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
50	22	Dania Beach Pier and Beach Cam	300 N Beach Road	beach	https://www.youtube.com/embed/bEoNVd3spEM	26.05844	-80.11153	Dania Beach	Florida	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
51	22	Cozumel Mexico Live Cam		beach	https://www.youtube.com/embed/bnoOh59WodY	20.51364	-86.95293	Cozumel	Cozumel	Mexico	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
52	22	"Cabo Live cam View from Medano Beach Baja California Sur, Mexico"	Avenida del Pescador Medano	beach	https://www.youtube.com/embed/i5UxcZSgvhA	22.8877	-109.90448	Cabo San Lucas	Cabo San Lucas	Mexico	5	ft	135	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
53	22	Calgary Live Cam		city	https://www.youtube.com/embed/aXClDkUunDk	51.05782	-114.0698	Calgary 	Alberta	Canada	5	ft	180	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
54	22	Khan Shatyr	"Turan Ave 37, Nur-Sultan 020000, Kazakhstan"	landmarks	https://www.youtube.com/embed/Rc2uhcrLqMI	51.13227	71.40509	Nur-Sultan	Nur-Sultan	Kazakhstan	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
55	22	Primorsky Boulevard	"Odesa, Odessa Oblast, Ukraine, 65000"	landmarks	https://www.youtube.com/embed/pFBsLTllFJo	46.48802	30.74166	Odessa	Odessa	Ukraine	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
56	22	St. Naum Live Camera by Cuba Libre Drim | Ohrid Info	123 Unknown	beach	https://www.youtube.com/embed/zTVawykzNPQ	40.91391	20.74062	Unknown	Unknown	Macedonia	5	ft	315	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
57	22	The Sounds Retreat Luxury Lodge Live Stream	215 Anakiwa Road	beach	https://www.youtube.com/embed/R2_EVScNhPI	-41.27778	173.90508	Picton	Picton	New Zealand	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
58	22	Castlepoint Lighthouse Live Stream	123 Unknown	beach	https://www.youtube.com/embed/TbRqHYdGptI	-40.89994	176.23195	Castlepoint	Castlepoint	New Zealand	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
59	22	Homewood Mountain Overlook powered by EXPLORE.org	5145 W Lake Boulevard	tourist	https://www.youtube.com/embed/uDzmE7ieP7A	39.08571	-120.15992	Homewood	California	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
60	22	"False Creek Live Stream from the Fuel Dock - Vancouver, Canada"	1655 Whyte Avenue	city	https://www.youtube.com/embed/Hcjso92l9lw	49.27563	-123.13803	Vancouver	BC	Canada	5	ft	45	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
61	22	"Lake Hood Seaplane Base, Anchorage, Alaska, USA | StreamTime LIVE"		beach	https://www.youtube.com/embed/Bj3kbnYPqmE	61.1818	-149.97051	Anchorage	Alabama	USA	5	ft	180	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
62	22	"Cottages By The Sea, St. Croix USVI"		beach	https://www.youtube.com/embed/3UUeTE1FyUA	17.70082	-64.88646	Saint Croix	Saint Croix	Virgin Islands	5	ft	315	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
63	22	Beach Bar St. John	4A Wharfside Village	beach	https://www.youtube.com/embed/5FqPmryS7_k	18.33051	-64.79617	Saint John	Saint John	Virgin Islands	5	ft	315	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
64	22	Star Island Sunset Cam		beach	https://www.youtube.com/embed/xV4rypVF5-k	42.97698	-70.61498	Rye	New Hampshire	USA	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
65	22	Santa Monica Beach Cam powered by EXPLORE.org	200 Santa Monica Pier	beach	https://www.youtube.com/embed/OWbI6WtlI-k	34.00836	-118.4984	Santa Monica	California	USA	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
66	22	"The Fred Hotel, Restaurant & Bar, St. Croix"	605 Strand Street	beach	https://www.youtube.com/embed/gdbRASr1dJw	17.70949	-64.88342	Frederiksted	Frederiksted	Virgin Islands	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
67	22	Mount Fuji 		landmarks	https://www.youtube.com/embed/Sv9hcJ3k5h4	35.2904	138.61732		Tokyo	Japan	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
68	22	"Ryde Esplanade & Pier, Isle of Wight UK"	16 Esplanade	beach	https://www.youtube.com/embed/Q-44KECp-xQ	50.73222	-1.15913	Ryde	Ryde	United Kingdom	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
69	22	Zoro Point Levi Finland		tourist	https://www.youtube.com/embed/LwihxyJ4V20	67.80414	24.80806	Sirkka	Sirkka	Finland	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
70	22	Pacifica Pier and Beach Live 4K Multi-camera		beach	https://www.youtube.com/embed/zYi_5AF6B2A	37.63329	-122.49437	Pacifica Beach	California	USA	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
71	22	"City of Ellsworth, Maine - Branch Lake Weather Cam"		weather	https://www.youtube.com/embed/tVXc6eYUqS8	44.54557	-68.42815	Ellsworth	Maine	USA	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
72	22	"Bar Harbor, Maine"	1 Newport Drive	beach	https://www.youtube.com/embed/u4ZulbipWd0	44.39043	-68.20241	Bar Harbor	Maine	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
73	22	Amsterdam		city	https://www.youtube.com/embed/yST7Ux0ypUM	52.37304	4.89263	Amsterdam	Amsterdam	Netherlands	5	ft	270	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
74	22	Teton View - Buffalo Valley in Moran Wyoming		tourist	https://www.youtube.com/embed/RqfLcIc4FxA	43.84162	-110.50845	Moran	Wyoming	USA	5	ft	180	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
75	22	Griboedov Canal St. Petersburg Russia		city	https://www.youtube.com/embed/vlHdLOeiOV0	59.92949	30.279	St. Petersburg	Saint Petersburg	Russia	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
76	22	Myrtle Beach Crown Reef Beach Resort and Water Park		beach	https://www.youtube.com/embed/wX4RM9BxA6g	33.66082	-78.91495	Myrtle Beach	South Carolina	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
77	22	Myrtle Beach View - Captain's Quarters Resort		beach	https://www.youtube.com/embed/3Wc7ymW90lM	33.6776	-78.89597	Myrtle Beach	South Carolina	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
78	22	Ocean Creek Resort - Myrtle Beach		beach	https://www.youtube.com/embed/lsD46RnvUiw	33.79121	-78.73996	Myrtle Beach	South Carolina	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
79	22	"Galveston, Texas | 24/7 Live Beach Camera"		beach	https://www.youtube.com/embed/smDLmSZ4j80	29.29775	-94.77821	Galveston	Texas	USA	5	ft	180	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
80	22	"Lake Conroe, Texas | 24/7 Live City Camera"		tourist	https://www.youtube.com/embed/67xezi6psk4	30.40778	-95.57417	Lake Conroe	Texas	USA	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
81	22	"Houston, Texas | 24/7 Live City Camera"		city	https://www.youtube.com/embed/c5_w4yGHmNQ	29.73583	-95.32305	Houston	Texas	USA	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
82	22	"Live Tour of Cloudcroft, NM USA"		town	https://www.youtube.com/embed/h2b3uGMN6kc	32.95484	-105.74265	Cloudcroft	New Mexico	USA	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
83	22	Barcelo Maya Grand Resort		beach	https://www.youtube.com/embed/C3XQdnZRCVg	20.48606	-87.24595	Barcelo Maya	Barcelo Maya	Mexico	5	ft	135	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
84	22	Africam Tau powered by EXPLORE.org	2874 R49 Madikwe Game Reserve	animals	https://www.youtube.com/embed/sqAdEAH2q_g	-24.70862	26.20547		Free State	South Africa	5	ft	90	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
85	22	San Sebastian de La Gomera		beach	https://www.youtube.com/embed/Btt_7wLpwxM	28.09206	-17.10702		Madrid	Spain	5	ft	135	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
86	22	"Pirovac, Croatia - Live panorama view"		beach	https://www.youtube.com/embed/-W7-r_MrXD4	43.81707	15.66288	Pirovac	Pirovac	Croatia	5	ft	135	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
87	22	"Knin, Croatia - Live panorama view"		city	https://www.youtube.com/embed/N4b_279ages	44.04554	16.20548	Kinn	Kinn	Croatia	5	ft	0	90	static	0	0	0	0	mi	1	mi	FFFFFF	FFFFFF	1	2021-04-22 13:35:00	2021-04-22 13:35:00	approved
